"filename", "language", "Go", "Go Module File", "comment", "blank", "total"
"/run/media/soroush/Drive G/goTmp/architectures/base.go", "Go", 19, 0, 0, 6, 25
"/run/media/soroush/Drive G/goTmp/architectures/layered.go", "Go", 21, 0, 0, 5, 26
"/run/media/soroush/Drive G/goTmp/architectures/makesqlc.go", "Go", 27, 0, 0, 7, 34
"/run/media/soroush/Drive G/goTmp/config_file/MySQL.go", "Go", 35, 0, 0, 9, 44
"/run/media/soroush/Drive G/goTmp/config_file/PostgreSql.go", "Go", 34, 0, 0, 8, 42
"/run/media/soroush/Drive G/goTmp/config_file/makeconfig.go", "Go", 68, 0, 0, 36, 104
"/run/media/soroush/Drive G/goTmp/config_file/sqlc.go", "Go", 24, 0, 0, 6, 30
"/run/media/soroush/Drive G/goTmp/go.mod", "Go Module File", 0, 2, 0, 1, 3
"/run/media/soroush/Drive G/goTmp/main.go", "Go", 5, 0, 0, 3, 8
"Total", "-", 233, 2, 0, 81, 316